lat,lon,type,title
54.3816688,18.5863137,przedszkole,Przedszkole Smykowo
54.3810852,18.5926193,przedszkole,Przedszkole Niepubliczne Żyrafa Słowackiego
54.3799848,18.6091704,przedszkole,Przedszkole Kota Edwarda
54.3454195,18.6646398,przedszkole,Publiczne Pozytywne Przedszkole Nr 2 W Gdańsku
54.3021011,18.6300199,przedszkole,Przedszkole nr 24
54.3466119,18.4328262,school,Szkoła Podstawowa im. J. Pawła II w Leźnie
54.3500775,18.5392976,school,Przedszkole Niepubliczne Marchewka
54.3534976,18.6029868,school,Primary School No. 42
54.2830283,18.5048595,school,Zespół Kształcenia i Wychowania w Lublewie Gdańskim
54.377132,18.5810801,szkola,Szkoła Podstawowa nr 27 im. Dzieci Zjednoczonej Europy
54.385829,18.6032689,szkola,Szkoła
54.3804584,18.5940543,szkola,Primary School No. 39
54.3387671,18.6263652,szkola,Szkoła Podstawowa Niepubliczna Dwujęzyczna
54.3141772,18.5912911,szkola,Language School New Horizons
54.3368966,18.6375343,bar,Grill Bar Gdańsk
54.325601,18.7459829,bar,KURCZAK Z ROŻNA
54.3110993,18.5674068,bar,Snack Bar Burger
54.3490609,18.6576437,cukiernia,BŁOGO cakes&sweets
54.34334,18.6799839,cukiernia,Kidzińscy. Piekarnia
54.3450914,18.828714,cukiernia,"Smaki Lata Sobieszewo. Lody i gofry, wyspa Sobieszewska."
54.348697,18.620341,kawiarnia,"Caffe Aktywni, Fundacja ""Świat Wrażliwy"""
54.349346,18.643527,kawiarnia,Karmello Chocolatier
54.3502238,18.6438476,kawiarnia,Grycan - Lody od pokoleń
54.402178,18.590987,restauracje,Hashi Sushi Gdańsk
54.3966803,18.6034437,restauracje,MusheSushi
54.391459,18.5905215,restauracje,Bazylia i Chilli. Bistro
54.377968,18.6086348,restauracje,Maciuś. Bar.
54.3519046,18.5249917,restauracje,Flunch
54.3437159,18.656846,restauracje,Mamma Mia Zielona Pietruszka
54.351717,18.656997,restauracje,Hostel Zappio
54.325974,18.744538,restauracje,Czarna Perla
54.2770855,18.5508834,restauracje,4 Pory Roku Restauracja i Nocleg
54.2877788,18.5059533,restauracje,Panda Sushi
54.326123,18.6188939,restauracje,Kuchnia Smaków
54.4110988,18.6297446,restaurant,Bella Maria kuchnia i przyjaciele
54.4103217,18.6011584,restaurant,Pizzeria Prendo Gusto
54.4013314,18.6621244,restaurant,PIZZERIA TAORMINA
54.3806644,18.5898427,restaurant,PING PONG
54.3511096,18.8337861,restaurant,Bar Leśna Wyspa
54.3213249,18.6312218,restaurant,Restauracja Portowa
54.34627,18.6586018,restaurant,The Garden Brasserie
54.347303,18.658663,restaurant,"Trzynastka food, drink & chillout"
